flash,ram,text,code,rodata,data,bss,dec,hex,filename,filename
4704,29,4698,4182,516,6,23,4727,`1277,tcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5360,64,5360,5360,0,0,64,5424,`1530,tcp_in.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
3393,0,3393,3316,77,0,0,3393,`d41,tcp_out.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
514,12,514,458,56,0,12,526,`20e,timeouts.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2391,6,2389,1836,553,2,4,2395,`95b,udp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
304,0,304,292,12,0,0,304,`130,ethernet.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
128,5,128,116,12,0,5,133,`85,dhcp-server-main.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
213,4,213,208,5,0,4,217,`d9,modemif.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1440,48,1440,1314,126,0,48,1488,`5d0,ppp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
160,0,160,160,0,0,0,160,`a0,pppapi.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2164,48,2164,1602,562,0,48,2212,`8a4,pppos.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
770,0,770,600,170,0,0,770,`302,upap.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1464,0,1464,1428,36,0,0,1464,`5b8,utils.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2150,0,2150,2150,0,0,0,2150,`866,vj.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
267,0,267,262,5,0,0,267,`10b,wlanif.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
818,8,818,720,98,0,8,826,`33a,sys_arch.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2618,0,2618,1980,638,0,0,2618,`a3a,api_lib.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
4136,0,4136,4094,42,0,0,4136,`1028,api_msg.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
96,0,96,28,68,0,0,96,`60,err.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
198,0,198,142,56,0,0,198,`c6,netbuf.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
396,297,396,396,0,0,297,693,`2b5,netdb.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
616,0,616,616,0,0,0,616,`268,icmp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2445,232,2441,2378,63,4,228,2673,`a71,dhcp-server.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
681,0,681,504,177,0,0,681,`2a9,auth.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
4617,0,4617,4162,455,0,0,4617,`1209,ipcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5140,0,5140,4612,528,0,0,5140,`1414,lcp.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
44,4,44,44,0,0,4,48,`30,magic.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
2167,0,2167,1946,221,0,0,2167,`877,fsm.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
0,24,0,0,0,0,24,24,`18,ip.c.obj (ex armino/lwip_intf_v2_1/liblwip_intf_v2_1.a),armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
80982,4951,80494,72978,7516,488,4463,85445,`14dc5,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
1052,128,1048,724,324,4,124,1176,`498,wdrv_main.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
1735,2712,1731,1442,289,4,2708,4443,`115b,wdrv_cntrl.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
1536,0,1536,1184,352,0,0,1536,`600,wdrv_tx.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
678,0,678,542,136,0,0,678,`2a6,wdrv_rx.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
92,0,92,92,0,0,0,92,`5c,wdrv_co_list.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
368,72,368,280,88,0,72,440,`1b8,wdrv_ipc.c.obj (ex armino/bk_wifi_driver/libbk_wifi_driver.a),armino/bk_wifi_driver/libbk_wifi_driver.a
5461,2912,5453,4264,1189,8,2904,8365,`20ad,armino/bk_wifi_driver/libbk_wifi_driver.a,armino/bk_wifi_driver/libbk_wifi_driver.a
5676,86,5676,3892,1784,0,86,5762,`1682,wifi_api.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
5438,0,5438,2904,2534,0,0,5438,`153e,wifi_cli.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
221,0,221,176,45,0,0,221,`dd,wifi_api_ipc.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
246,10,246,168,78,0,10,256,`100,phy_client.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
99,4,99,76,23,0,4,103,`67,phy_notify.c.obj (ex armino/bk_wifi/libbk_wifi.a),armino/bk_wifi/libbk_wifi.a
11680,100,11680,7216,4464,0,100,11780,`2e04,armino/bk_wifi/libbk_wifi.a,armino/bk_wifi/libbk_wifi.a
888,0,888,888,0,0,0,888,`378,_arm_addsubdf3.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
1060,0,1060,1060,0,0,0,1060,`424,_arm_muldivdf3.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
272,0,272,272,0,0,0,272,`110,_arm_cmpdf2.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
44,0,44,44,0,0,0,44,`2c,_arm_unorddf2.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
80,0,80,80,0,0,0,80,`50,_arm_fixdfsi.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
64,0,64,64,0,0,0,64,`40,_arm_fixunsdfsi.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
160,0,160,160,0,0,0,160,`a0,_arm_truncdfsf2.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
160,0,160,160,0,0,0,160,`a0,_aeabi_ldivmod.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
48,0,48,48,0,0,0,48,`30,_aeabi_uldivmod.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
4,0,4,4,0,0,0,4,`4,_dvmd_tls.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
40,0,40,40,0,0,0,40,`28,_popcountsi2.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
60,0,60,60,0,0,0,60,`3c,_fixunsdfdi.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
768,0,768,768,0,0,0,768,`300,_udivmoddi4.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
48,0,48,48,0,0,0,48,`30,_fixdfdi.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
3696,0,3696,3696,0,0,0,3696,`e70,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a,/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v8-m.main+fp/hard/libgcc.a
444,0,444,444,0,0,0,444,`1bc,libc_a-strcmp.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
236,0,236,236,0,0,0,236,`ec,libc_a-memcpy.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
8,0,8,8,0,0,0,8,`8,libc_a-atoi.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
8,0,8,8,0,0,0,8,`8,libc_a-atol.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
1576,0,1576,1576,0,0,0,1576,`628,libc_a-qsort.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
80,0,80,80,0,0,0,80,`50,libc_a-rand.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
4223,0,4223,4120,103,0,0,4223,`107f,libc_a-strtod.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
344,0,344,344,0,0,0,344,`158,libc_a-strtol.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
324,0,324,324,0,0,0,324,`144,libc_a-strtoul.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
88,0,88,88,0,0,0,88,`58,libc_a-sscanf.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
4,0,4,4,0,0,0,4,`4,libc_a-stdio.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
92,0,92,92,0,0,0,92,`5c,libc_a-memcmp.o (ex /Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a),/Users/hiroya/Project/TuyaOpen/platform/tools/arm-gnu-toolchain-13.3.rel1-darwin-arm64-arm-none-eabi/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
